polarity	text
P	Un fuerte abrazo a @conchagcampoy, que va a disputar la batalla más importante de su vida. Mucho animo :-)
P	Crean un banco de productos para mujeres con cáncer de mama http://t.co/H092Elrs
N	Juro que todo lo veo borroso
N	"Como tenga q salir, vaya papelón con la camiseta ""superior"" RT “@agusperezblanco: @RodrigoBlazquez escudé es francés pero hoy no juega...”"
NONE	A las 3 en @A3noticias, Rajoy reaparece en una entrevista: justifica la subida del IRPF y dice que no se va a esconder
P	Pues a mi me ha encantado estar en el Homenaje a los #TesorosVivosdelaTelevivion En la UEM, con los principes http://t.co/mKoX9BiE
NONE	Y las ballenas son reales ¡¡. http://t.co/HPWHq4bQ
N	@ConsueCaballer jajajajaja pues que se vuelva loco conmigo leches... llevo dias petándolo y nada... 
NEU	buena reflexión: RT “@peponmor: .@FedericoQuevedo ¿y que queria Cascos? ¿que el PP en pleno se bajara los pantalones ante él?”
NONE	Paula Vázquez  Las fotos de esta tarde! http://t.co/ta7r17F1 vía @antena3com
N	@D4rkusPl4y ah era hoy? mañana durante el día puede llamarme y con mucho gusto a plena luz del día no en lo oscurito en barrios mierda
P	PPK hizo una mención especial a todos los jóvenes que marcharon anoche. La lucha no fue en vano. #MensajeALaNación #LaEducaciónSeRespeta
P	El Rey aplaude la continuidad de Sanz Roldán al frente del CNI http://t.co/de36wUyN
P	@IkebanaBlossom Yo, he probado con pisco, y buenazo tmb, ah.
NONE	@gbviquez yo quería que me dieran la bcr así
NEU	@walfon_ renato solo va por unos cursitos y juega sus jueguitos marveleros ps, al pan pan y al vino vino @RenatoDelgadoR tquiero
P	@Walter_Sobchak1 Por cierto Walter,genial lo d echarle las cenizas al Donie 
N	@cantagalli Pasa el link de la mas interesante please, por no ver 5 veces lo mismo 
NEU	Puede ser un héroe tanto el que triunfa como el que sucumbe, pero jamás el que abandona el combate. Tomas Carlyle
P	Jeje.. RT @MariadeOnate @Tonicanto1 Lo siento pero esta mañana me he echado unas risas a tu costa ;)
NONE	Jejeje check. RT @SullyMoralesVSZ: Que @AlejandroSanz acepte hacer twittcam ☑,hacer q (cont) http://t.co/xxzjWLqM
NONE	En relación a Marruecos nada nuevo bajo el sol, aunque con viento de poniente. Del Sáhara ni palabra. Más de lo mismo.
NEU	"@javierarenas_pp : "" es mucho mejor subir el IRPF que el IVA "" #AhoraAndalucia"
P	"Leo ""El Nombre de las Cosas"" del gran Fernando Beltrán. Altamente recomendable: una biografía poética."
NONE	Dennis Dugan el director de #Jackysugemela dando instrucciones a Katie Holmes http://t.co/QXAoKJTD
NEU	La clasificación internacional de enfermedades desconoce la leyenda del síndrome post aborto, como la sociología la violencia estructural.
N	@frankgrs super triste, imaginate una familia de 4 personas SOBREVIVIENDO con eso
N	Que viene Nonpa y fijo es para mayores. Ya lloro.
P	Muy buenas noches followercetes! http://t.co/F7WGxJlE
P	RT: “@izuzquiza: Orgullo de primo: Hoy @JPelirrojo es portada de @QueDiario. ¡Gran criterio, @rafam_simancas! http://t.co/chZLXytl”
NONE	"Acabo de terminar una carrera de 5,21 km con un ritmo de 5'12""/km y un tiempo de 27:08."
P	Estamos preparando una gran sorpresa! Prometo les encantara! Q sera!!!
NONE	A Tv 3!!!!!!
NEU	Recién llegada a Madrid!!por fin en casitaaa pero que frío!!No me quiero ni imaginar como hará en la sierra y mas cuando sea de noche....
NONE	Mi primera novela, 31 noches, ya se puede encargar en Amazon. Saldrá a la venta este miércoles en papel y ebook http://t.co/1fmut4WL
NONE	@MarcosPedzik Muchas gracias por tus palabras. Un fuerte abrazo para vos
N	Hago un favor y me reclaman y quejan, clásico
N	Como me pude negar subir a un bmw deportivo
N	@albueto @ferderer2 @TipsterApuesta los reyes magos son mas reales que este 
N	El problema de las ofertas ahorita, esque no llegó al mínimo para regalarle a mi amigo secreto. Y siento que lo voa estafar
P	Conocí a García-Margallo hace unos tres años en Bruselas y me sorprendió su competencia y solvencia en materia de Economía. 1/2
P	le gusta This Is the Life de Amy Macdonald  en Ping http://t.co/o7ek2KpO #iTunes
P	Ban Ki-moon, secretario general de la ONU, pide a las autoridades egipcias que aceleren el ritmo de las reformas democráticas
NONE	+ a veces se la pedía prestado se molestó y me la vendió para que no la joda. Ahora ella es la que más la usa
N	Juro que el próximo cuatri busco aparta con alguien no puedo con esto de estar sola
P	esa soy yooooooo jaaaa
N	@peiperjart por allí me contaron que sera el último work and travel u.u porque eliminarán el tipo de visa que lo permite
NONE	De barracones y colegios en obras... http://t.co/vcUjbTIO
P	Oeoeoeoeoeoeoe @jpedrerol oeoeoeoeoeoeoe @Gato_directo y oeoeoeoeoeoeoe @TelediarioInter !!!!! Enhorabuena!!!!! Maquinas!!!!!
NEU	Manifiesto del #PSOE ante la huelga http://t.co/rt6r7mrW
N	Pinche ex mejor amigo lo odio
P	@sandyxyxx es lo que tiene Amazon  a uno que conozco le llega el Lunes, siéntete afortunada 
N	Tiene guasa leer editoriales que hablan de inestabilidad sistema educativo por reforma PP cuando todas las leyes en 30 años han sido PSOE
N	"Pío G. Escudero ""esta huelga gral parece una enmienda a la totalidad del resultado del 20N"" @LARAZON_es"
P	Abierta la décima legislatura de las Cortes españolas a cargo del Rey. Llamamiento a la honradez de sus señorías y al trabajo común
NONE	A merendar #chatidieta  http://t.co/Fs6j0PWJ
N	RT @Erikaguerradiaz: RT @AlejandroSanz Hagamos TT #NoMaltratoInfantil por todos los niños que sufren!!
P	claro que si! Muero de ganas por ir ! Por lo pronto estudiando portugués con Paula Fernandes ! Abrazo “@_Layal: @juanes venga a Brazil!”
P	RT: “@doctorchuslolo: seria Ras-Putin al que no consiguieron matar y consiguio el secreto de la eterna juventud. Jordi Hurtado sovietico”
N	Me muero de sueño. Es demasiado tiempo sentada
NONE	Asi andamos. Este es el ambiente. http://t.co/KhlzAWDo
N	Durante la mañana de hoy, han seguido trabajando intensamente los medios aéreos  y las unidades terrestres en la extinción del #incendio
N	Yo creo q la culpa la tienen las empresas de telecomunicaciones q son las q se forran. Donde esta la competencia? #estodounabroma
N	Si se desesperan nos lleva puta
NEU	Ni un socialista pata negra después de un fin de semana mano a mano con el chófer de Guerrero habría soñado con esto #25M #Andalucía
NEU	Un Gobierno de izdas bajo los impuestos a las grandes empresas y un Gobierno de dchas se los vuelve a subir, es este el mundo al revés?
N	Lo que no explica Montoro, y es lo fundamental, es qué autonomías han incumplido y por cuánto. Y quién las gobierna.
NEU	@malarodriguez saludos desde Costa Rica mala...ya q siempre te escribo y nunca me respondes Igual nunca me canso de escucharte.. Besos
N	Sorgiñas, culebras. Cabrones negros de barba larga.
NEU	"Una huelga de ""baja intensidad"" que relaja la presión sobre Rajoy - Dos Palabras http://t.co/zR6Iaae9 vía @elconfidencial"
N	ajá! “@JulenAriza: mal síntoma, especialmente para Newt Gingrich, que no ha podido conseguir 10.000 firmas en el mismo estado donde vive.”
